,uuid,account_amount_added_12_24m,account_days_in_dc_12_24m,account_days_in_rem_12_24m,account_days_in_term_12_24m,account_incoming_debt_vs_paid_0_24m,account_status,account_worst_status_0_3m,account_worst_status_12_24m,account_worst_status_3_6m,account_worst_status_6_12m,age,avg_payment_span_0_12m,avg_payment_span_0_3m,merchant_category,merchant_group,has_paid,max_paid_inv_0_12m,max_paid_inv_0_24m,name_in_email,num_active_div_by_paid_inv_0_12m,num_active_inv,num_arch_dc_0_12m,num_arch_dc_12_24m,num_arch_ok_0_12m,num_arch_ok_12_24m,num_arch_rem_0_12m,num_arch_written_off_0_12m,num_arch_written_off_12_24m,num_unpaid_bills,status_last_archived_0_24m,status_2nd_last_archived_0_24m,status_3rd_last_archived_0_24m,status_max_archived_0_6_months,status_max_archived_0_12_months,status_max_archived_0_24_months,recovery_debt,sum_capital_paid_account_0_12m,sum_capital_paid_account_12_24m,sum_paid_inv_0_12m,time_hours,worst_status_active_inv
39,ea17edd7-0f54-463d-be2d-b565ee25edeb,0,0.0,0.0,0.0,,,,,,,76,,,Concept stores & Miscellaneous,"Leisure, Sport & Hobby",False,0.0,0.0,no_match,,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,20.6005555555556,
46,79d1c712-d2dd-4706-b472-0f9f5c82ff61,0,0.0,0.0,0.0,,,,,,,56,,,Diversified children products,Children Products,False,0.0,0.0,L,,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,14.9063888888889,
48,38ee998b-9dc7-472a-8ba3-37f30bdcdf25,0,0.0,0.0,0.0,,,,,,,43,,,Diversified entertainment,Entertainment,False,0.0,0.0,no_match,,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,8.54472222222222,
49,37890e05-abfd-4846-8619-f94f17f10c53,0,0.0,0.0,0.0,,,,,,,50,,,Youthful Shoes & Clothing,Clothing & Shoes,False,0.0,0.0,no_match,,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,18.6166666666667,
50,7e671381-1265-4af8-b739-aadc1c578670,0,0.0,0.0,0.0,,,,,,,34,,,Prescription optics,Health & Beauty,False,0.0,0.0,F+L,,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,10.7527777777778,
52,212e1626-c50e-4250-a2c7-6ebd5d13f185,0,0.0,0.0,0.0,,,,,,,19,,,Youthful Shoes & Clothing,Clothing & Shoes,False,0.0,0.0,Nick,,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,9.10055555555556,
62,ec145192-0bc0-4c31-8a3c-69ab8d2c4850,0,0.0,0.0,0.0,,,,,,,55,,,Diversified electronics,Electronics,False,0.0,0.0,F+L,,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,14.3255555555556,
74,6eac851f-e102-438b-a7b5-bb49cc8788f3,0,0.0,0.0,0.0,,,,,,,63,,,Concept stores & Miscellaneous,"Leisure, Sport & Hobby",False,0.0,0.0,L1+F,,1,0,0,0,0,0,,,1,0,0,0,0,0,0,0,0,0,0,13.6466666666667,1.0
75,2abcbaa8-7216-4d9f-8890-45c3d771e470,0,0.0,0.0,0.0,,1.0,1.0,,,,41,,,Diversified electronics,Electronics,False,0.0,0.0,F1+L,,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,22.18,
77,eb92aea9-bb02-4478-a369-92c34f3ab03d,0,0.0,0.0,0.0,,,,,,,58,,,General Shoes & Clothing,Clothing & Shoes,False,0.0,0.0,F+L,,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,13.7108333333333,
84,f03ce764-e26a-463b-9829-3673d00d59a2,0,,,,,,,,,,36,10.0,9.0,Diversified entertainment,Entertainment,True,1690.0,2690.0,F,0.0,0,0,0,3,3,0,0.0,0.0,0,1,1,1,1,1,1,0,0,0,3775,8.68166666666667,
88,88697108-0e98-464b-9223-e87b68a9c7fe,0,0.0,0.0,0.0,,,,,,,31,,,General Shoes & Clothing,Clothing & Shoes,False,0.0,0.0,F1+L,,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,18.7088888888889,
96,f08e319e-9c6b-43f6-b7d7-de97749ba0c9,0,0.0,0.0,0.0,,,,,,,72,,,Concept stores & Miscellaneous,"Leisure, Sport & Hobby",False,0.0,0.0,L1+F,,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,20.5655555555556,
100,f3a1b586-8a28-4336-b428-cbc0ae2f905c,0,,,,,,,,,,43,,,Decoration & Art,Home & Garden,False,0.0,0.0,no_match,,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,11.0125,
102,bd1332ae-a524-4859-bbe1-d22643daa66e,0,,,,,,,,,,28,4.0,1.71428571428571,Diversified entertainment,Entertainment,True,3195.0,4380.0,F+L,0.111111111111111,1,0,0,8,12,0,0.0,0.0,1,1,1,1,1,1,2,0,0,0,19425,10.4236111111111,1.0
104,56208a22-2792-4777-b285-e4b29968647a,16338,0.0,17.0,0.0,0.0005783244014342,1.0,1.0,2.0,1.0,2.0,38,33.0,33.0,Diversified children products,Children Products,True,7575.0,7575.0,Nick,3.0,3,0,0,0,0,0,,,4,0,0,0,0,0,0,0,16411,18059,7575,23.4563888888889,2.0
105,efe8d401-b54c-45a9-848c-89b8890f793e,0,,,,,,,,,,36,23.0,,Sports gear & Outdoor,"Leisure, Sport & Hobby",True,4680.0,4680.0,L1+F,0.0,0,0,0,4,6,2,0.0,0.0,0,1,1,1,1,2,2,0,0,0,15450,21.6633333333333,
109,e8b47c0c-508d-49cc-8e9c-02ff921d139a,0,,,,,,,,,,34,,,Diversified children products,Children Products,True,0.0,0.0,F+L,,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,19.36,
114,cf3148ed-198e-43ee-be45-8a8b3d3ca858,0,0.0,0.0,0.0,,,,,,,26,,,Sports gear & Outdoor,"Leisure, Sport & Hobby",False,0.0,0.0,F+L,,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,9.79527777777778,
124,c269a61a-ab1e-4a56-81a9-0edbf25e01d6,0,0.0,0.0,0.0,,,,,,,59,,,Dating services,Intangible products,False,0.0,0.0,F+L,,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,15.6380555555556,
125,2feb0241-d702-4dd2-8986-0a00e1a7951e,0,0.0,0.0,0.0,,1.0,1.0,1.0,1.0,1.0,34,,,Prints & Photos,"Leisure, Sport & Hobby",True,14475.0,14475.0,F1+L,0.0,0,0,0,0,1,0,0.0,0.0,0,1,2,0,0,0,2,0,0,0,14475,22.5975,
127,c7a4c02a-abca-4f39-86dd-c0f810fb9856,37347,0.0,0.0,0.0,0.792318931329576,1.0,1.0,1.0,1.0,2.0,40,,,Diversified electronics,Electronics,True,0.0,0.0,F1+L,,0,0,0,0,0,0,,,1,0,0,0,0,0,0,0,34246,3514,0,21.6877777777778,
128,0ec8cb5e-930f-451a-8d7e-0bfa98688de2,3481,0.0,59.0,0.0,0.289698401162791,1.0,2.0,2.0,2.0,1.0,35,,,Diversified entertainment,Entertainment,True,0.0,2000.0,Nick,,0,0,0,0,2,0,0.0,0.0,2,1,1,0,0,0,1,0,37523,28534,0,19.7052777777778,
129,55504b99-7955-4f97-8b22-0c7d894b8b77,0,,,,,,,,,,34,10.8333333333333,,Diversified entertainment,Entertainment,True,7380.0,7380.0,F+L,0.166666666666667,1,0,0,6,3,0,0.0,0.0,1,1,1,1,1,1,1,0,0,0,17620,16.3894444444444,1.0
130,73a72d7d-461e-4f35-9ca1-d9a42d9ace2c,0,0.0,0.0,0.0,,,,,,,22,,,Diversified entertainment,Entertainment,True,0.0,20295.0,L1+F,,0,0,0,0,1,0,0.0,0.0,0,1,0,0,0,0,1,0,0,0,0,7.4775,
132,7aac9678-f1ea-4601-83d9-90e1e06e8159,0,,,,,,,,,,47,9.8,10.6666666666667,Diversified entertainment,Entertainment,True,2090.0,2195.0,F+L,0.0,0,0,0,5,17,0,0.0,0.0,0,1,1,1,1,1,1,0,0,0,8010,22.3391666666667,
137,5e65d928-81a7-4e55-9b00-ea69a9128bec,0,,,,,,,,,,22,13.8461538461538,12.5,Diversified entertainment,Entertainment,True,6690.0,8995.0,F,0.0,0,0,0,13,26,0,0.0,0.0,0,1,1,1,1,1,1,0,0,0,55400,20.2177777777778,
142,438e8769-2ba2-41a9-b124-aad1ed4ffdce,0,0.0,0.0,0.0,,,,,,,24,,,Pet supplies,Home & Garden,False,0.0,0.0,no_match,,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,7.03833333333333,
144,12b62c43-fc36-4b0e-8176-b0328de68ffc,0,0.0,0.0,0.0,,,,,,,41,,,Diversified children products,Children Products,False,0.0,0.0,F+L,,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,18.7547222222222,
151,9cfc2679-9999-4c6f-828c-b96186ae2ca8,0,,,,,,,,,,45,14.0,10.4,Diversified entertainment,Entertainment,True,11145.0,13045.0,Nick,0.0,0,0,0,14,1,0,0.0,0.0,0,1,1,1,1,1,1,0,0,0,47690,16.0158333333333,
152,469b8b55-4633-4657-ad69-9e3045ea7eac,0,,,,,,,,,,24,5.6,6.0,Diversified entertainment,Entertainment,True,3985.0,3985.0,F+L,0.2,1,0,0,4,0,0,0.0,0.0,1,1,1,1,1,1,1,0,0,0,12145,17.2288888888889,1.0
156,6b8e94ec-e176-473f-82ce-0c4f37eee7cb,0,,,,,,,,,,44,35.0,,Dating services,Intangible products,True,4900.0,4900.0,F+L,1.0,1,0,0,0,0,1,0.0,0.0,1,2,0,0,0,2,2,0,0,0,4900,16.5880555555556,1.0
157,d0239d1b-22cf-4570-b8b5-26052d9e6ff5,0,,,,,,,,,,18,,,Jewelry & Watches,Jewelry & Accessories,False,0.0,0.0,no_match,,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,11.4216666666667,
162,b31ca7d7-55cb-41b7-9ce0-b4b933b7fb07,0,,,,,,,,,,30,15.25,15.3333333333333,Diversified entertainment,Entertainment,True,13570.0,13570.0,F1+L,0.25,1,0,0,4,0,0,0.0,0.0,1,1,1,1,1,1,1,0,0,0,29575,20.2961111111111,1.0
163,311c8743-6ff0-4564-be08-b1dd8fe3cad4,0,,,,,,,,,,35,25.7142857142857,26.0,Concept stores & Miscellaneous,"Leisure, Sport & Hobby",True,38100.0,38100.0,no_match,0.142857142857143,1,0,0,6,0,1,0.0,0.0,1,2,1,1,2,2,2,0,0,0,122255,9.16944444444444,1.0
166,c74f72ab-72ad-4622-a973-52d84c2a850b,0,,,,,,,,,,30,,,Diversified children products,Children Products,True,0.0,0.0,F1+L,,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,16.5511111111111,
168,1e94fa1f-578d-4a51-bf88-1af86e6c1e8a,0,,,,,,,,,,30,13.2,5.0,Diversified entertainment,Entertainment,True,64490.0,64490.0,F+L,0.0,0,0,0,5,3,0,0.0,0.0,0,1,1,1,1,1,1,0,0,0,198260,12.7733333333333,
169,e2007460-e486-45ab-9401-55fd47122ad7,0,0.0,0.0,0.0,1.3479,1.0,1.0,,1.0,,34,,,Diversified entertainment,Entertainment,True,0.0,0.0,no_match,,0,0,0,0,0,0,,,1,0,0,0,0,0,0,0,13692,0,0,11.77,
171,c6ede648-c593-4c16-a595-f570e4611f3b,0,0.0,0.0,0.0,,,,,,,82,,,Concept stores & Miscellaneous,"Leisure, Sport & Hobby",True,0.0,10885.0,L1+F,,0,0,0,0,1,0,0.0,0.0,0,1,0,0,0,0,1,0,0,0,0,8.17333333333333,
175,ae1acb53-91df-4c99-90a8-cc4f4132bed2,0,0.0,0.0,0.0,0.0004181184668989,1.0,1.0,,1.0,1.0,21,,,Diversified entertainment,Entertainment,True,1750.0,1750.0,Nick,,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,5706,0,1750,15.8169444444444,
177,d421ee6c-c4bd-4581-a6f3-4b081f9a5c6e,0,0.0,0.0,0.0,,,,,,,56,,,Diversified entertainment,Entertainment,False,0.0,0.0,L1+F,,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,14.0047222222222,
180,2dc6a258-8c10-4ace-9879-9b0fd24a8496,0,0.0,0.0,0.0,,,,,,,56,,,Automotive Parts & Accessories,Automotive Products,False,0.0,0.0,no_match,,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,19.3772222222222,
186,72c9170d-9a1b-4cef-aaa5-d4077326fc71,0,0.0,0.0,0.0,,,,,,,32,,,Tools & Home improvement,Home & Garden,False,0.0,0.0,F1+L,,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,10.2463888888889,
191,075b35c8-1ba4-4dc5-be7b-779bd4fb41aa,0,,,,,,,,,,26,10.0,14.0,Automotive Parts & Accessories,Automotive Products,True,11890.0,11890.0,no_match,0.0,0,0,0,3,1,0,0.0,0.0,0,1,1,1,1,1,1,0,0,0,17745,1.22638888888889,
192,f5e66be6-011e-4fc2-a12a-80f8cf5c745f,0,,,,,,,,,,25,,,Diversified electronics,Electronics,True,2490.0,2490.0,L1+F,,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,2490,18.2633333333333,
193,3826f789-af2f-4934-b11b-436d3e5e0df8,0,0.0,0.0,0.0,,1.0,1.0,,1.0,1.0,23,,,Automotive Parts & Accessories,Automotive Products,False,0.0,0.0,L1+F,,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,11.1727777777778,
197,199a6e6a-2847-4795-8ce5-dde9b005fff9,0,0.0,0.0,0.0,1.82315,1.0,1.0,,1.0,1.0,27,,,Automotive Parts & Accessories,Automotive Products,True,0.0,0.0,no_match,,0,0,0,0,0,0,,,1,0,0,0,0,0,0,0,14027,0,0,17.2311111111111,
198,7fd340e9-cf0a-4b77-a274-28aea8970f71,0,0.0,0.0,0.0,,,,,,,37,,,Children toys,Children Products,False,0.0,0.0,no_match,,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,17.2758333333333,
210,db3fbe6e-d195-4a89-b1f4-597671616e2f,0,,,,,,,,,,26,,,Automotive Parts & Accessories,Automotive Products,False,0.0,0.0,F+L,,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,12.9761111111111,
212,33b514ad-5a1f-4315-85a3-f8a47da74e95,0,0.0,0.0,0.0,,,,,,,33,,,Diversified entertainment,Entertainment,True,0.0,0.0,L1+F,,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,11.8088888888889,
216,f2589050-b10f-438c-bd5a-0da56246fdaa,0,0.0,0.0,0.0,,,,,,,55,,,Diversified entertainment,Entertainment,False,0.0,0.0,F+L,,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,19.4463888888889,
217,68ebd655-58f3-4194-94b9-41937867acca,0,,,,,,,,,,18,15.0,15.0,Concept stores & Miscellaneous,"Leisure, Sport & Hobby",True,8740.0,8740.0,F+L,0.0,0,0,0,1,0,0,0.0,0.0,0,1,0,0,1,1,1,0,0,0,8740,20.6572222222222,
219,efab71bf-dc85-422e-9109-f01e21ae6c38,0,0.0,0.0,0.0,,,,,,,48,,,Diversified entertainment,Entertainment,False,0.0,0.0,L1+F,,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,17.5675,
220,695746db-f6ab-44f7-85df-bee4dcb40280,0,0.0,0.0,0.0,,,,,,,44,,,Concept stores & Miscellaneous,"Leisure, Sport & Hobby",False,0.0,0.0,no_match,,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,12.2952777777778,
223,d16ab6d5-6ca8-415c-91a0-3c7e5df06d32,0,,,,,,,,,,22,14.5263157894737,11.7,Body & Hair Care,Health & Beauty,True,20780.0,20780.0,F+L,0.0689655172413793,4,0,0,56,21,1,0.0,0.0,4,1,1,1,2,2,2,0,0,0,246133,19.3969444444444,1.0
226,8796bcc8-f2a1-4f30-9c9e-5c41d17f9814,0,0.0,0.0,0.0,,,,,,,53,,,Diversified entertainment,Entertainment,True,0.0,2890.0,Nick,,0,0,0,0,2,0,0.0,0.0,0,2,1,1,0,0,2,0,0,0,0,12.9791666666667,
227,1e10d674-5d79-4897-8184-3ef2b3abbca6,0,0.0,0.0,0.0,,,,,,,55,,,Adult Shoes & Clothing,Clothing & Shoes,False,0.0,0.0,F+L,,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,16.1266666666667,
234,f723f4c8-208c-40ec-a60f-8df31f0089f5,0,0.0,0.0,0.0,0.0,1.0,1.0,,,,58,,,Dating services,Intangible products,True,0.0,0.0,no_match,,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,2990,0,0,15.0580555555556,
236,fd5b8f81-b58f-4f06-8e75-788cb389b2e3,0,,,,,,,,,,28,15.5,,Video Games & Related accessories,Entertainment,True,11917.0,16970.0,F+L,1.5,3,0,0,2,11,0,0.0,0.0,3,1,1,1,0,1,1,0,0,0,13602,13.4933333333333,1.0
238,edad121c-481f-4dab-bf5a-ceff47531c35,26738,0.0,148.0,0.0,0.540105263157895,1.0,2.0,2.0,2.0,2.0,52,0.0,0.0,Dietary supplements,Health & Beauty,True,0.0,0.0,L1+F,1.0,1,0,0,0,0,0,,,38,0,0,0,0,0,0,0,38016,46473,0,15.49,1.0
240,3463f976-e53b-46a5-8ac6-673435ff3af0,0,0.0,0.0,0.0,,,,,,,51,,,Books & Magazines,Entertainment,False,0.0,0.0,L,,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,13.5813888888889,
248,8bb6a0c4-f398-478e-b8f3-15dbbe2e93cd,0,,,,,,,,,,21,11.4444444444444,3.0,Diversified entertainment,Entertainment,True,5390.0,20395.0,F1+L,0.0,0,0,0,8,11,1,0.0,0.0,0,1,1,1,1,2,2,0,0,0,18937,16.5102777777778,
252,1db3fc87-13b5-4490-a50a-73b5ed64d729,0,,,,,,,,,,45,19.8181818181818,21.0,Diversified entertainment,Entertainment,True,13585.0,36250.0,L1+F,0.0,0,0,0,11,6,0,0.0,0.0,0,1,1,1,1,1,1,0,0,0,63095,22.1202777777778,
261,2d3d0f8f-f8ce-4532-8b20-38bf7b8bb7a6,0,0.0,0.0,0.0,,,,,,,24,,,Youthful Shoes & Clothing,Clothing & Shoes,True,0.0,0.0,F,,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,12.7027777777778,
264,19e782d1-1561-4dec-944a-2b25a972ece2,0,,,,,,,,,,39,47.5555555555556,,Books & Magazines,Entertainment,True,11391.0,13080.0,F1+L,0.307692307692308,4,2,7,3,2,4,0.0,0.0,4,2,3,2,3,3,3,0,0,0,56558,23.1397222222222,2.0
266,5874a7be-8575-4718-8409-f92a0febcb05,0,0.0,0.0,0.0,,,,,,,45,,,Diversified entertainment,Entertainment,True,0.0,7560.0,F+L,,0,0,0,0,2,0,0.0,0.0,0,1,1,0,0,0,1,0,0,0,0,16.0605555555556,
271,d153f84b-4a65-45f9-97c8-5af8372d56e1,0,0.0,0.0,0.0,,,,,,,42,,,Jewelry & Watches,Jewelry & Accessories,True,0.0,5110.0,no_match,,0,0,0,0,2,0,0.0,0.0,0,1,1,0,0,0,1,0,0,0,0,10.0113888888889,
274,354e8e84-2d95-4501-a1d1-b8f46a9b9e70,0,,,,,,,,,,34,,,Diversified entertainment,Entertainment,False,0.0,0.0,no_match,,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,20.5291666666667,
276,a47077a0-75b0-429e-a255-cd7c536efbe6,0,,,,,,,,,,19,,,Video Games & Related accessories,Entertainment,True,0.0,3075.0,F+L,,1,0,0,0,1,0,0.0,0.0,1,2,1,0,0,0,2,0,0,0,0,18.9505555555556,1.0
281,b2b63905-162a-4258-aff9-07cab756ae80,0,0.0,0.0,0.0,,,,,,,27,,,Diversified children products,Children Products,False,0.0,0.0,F1+L,,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,18.7861111111111,
285,449a2670-99af-4b96-8178-7721e0ec0cbc,29303,0.0,0.0,0.0,0.210966542750929,1.0,1.0,1.0,2.0,2.0,18,,,Diversified entertainment,Entertainment,True,895.0,10000.0,no_match,,0,0,0,0,0,0,,,4,1,0,0,0,0,1,0,24235,10727,895,21.5788888888889,
287,5d65be93-5c18-43a8-8d56-e5356b7d8c9e,0,,,,,,,,,,33,8.16666666666667,9.75,Diversified entertainment,Entertainment,True,7396.0,7396.0,F,0.142857142857143,1,0,0,6,10,0,0.0,0.0,1,1,1,1,1,1,2,0,0,0,27870,11.6991666666667,1.0
292,40080a1c-3370-4d16-bd6e-387b09f57d99,0,0.0,0.0,0.0,,,,,,,29,,,Books & Magazines,Entertainment,True,0.0,4260.0,Nick,,0,0,0,0,1,0,0.0,0.0,0,1,0,0,0,0,1,0,0,0,0,7.91361111111111,
297,8316695e-f0cb-4dc2-a632-257fcbff8e7a,0,,,,,,,,,,49,12.9375,11.6666666666667,Diversified entertainment,Entertainment,True,4360.0,4360.0,F,0.0,0,0,0,16,22,0,0.0,0.0,0,1,1,1,1,1,1,0,0,0,46090,21.0733333333333,
299,ea483b89-1ef0-451c-97a2-1881c765eac5,0,,,,,,,,,,34,14.0,,Diversified entertainment,Entertainment,True,2184.0,2800.0,no_match,0.0,0,0,0,1,2,0,0.0,0.0,0,1,1,1,0,1,1,0,0,0,2184,12.8688888888889,
302,86fd1951-6e99-4ec1-926e-27458dffb72c,0,0.0,0.0,0.0,,,,,,,47,,,Sports gear & Outdoor,"Leisure, Sport & Hobby",False,0.0,0.0,F1+L,,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,14.365,
304,ae26de41-049d-4000-aa52-a906af787c91,0,0.0,0.0,0.0,,,,,,,30,,,Diversified entertainment,Entertainment,False,0.0,0.0,L1+F,,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,18.7361111111111,
312,662d14d7-7b8c-4528-8d2e-d50df3a8c45d,0,0.0,0.0,0.0,,,,,,,18,,,Body & Hair Care,Health & Beauty,False,0.0,0.0,L1+F,,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,21.9947222222222,
323,517567d7-2356-470a-b626-660d6c156080,0,,,,,,,,,,19,6.54545454545455,6.4,Diversified electronics,Electronics,True,13889.0,13889.0,no_match,0.272727272727273,3,0,0,11,1,0,0.0,0.0,3,1,1,1,1,1,1,0,0,0,65115,15.7525,1.0
331,56305b6c-cee2-4696-9732-495887247510,0,0.0,0.0,0.0,,,,,,,34,,,General Shoes & Clothing,Clothing & Shoes,True,0.0,0.0,no_match,,1,0,0,0,0,0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,17.8127777777778,1.0
332,2e514ac6-a84a-4df7-9303-d9908011ed3b,0,0.0,0.0,0.0,,,,,,,42,,,Household electronics (whitegoods/appliances),Electronics,False,0.0,0.0,Nick,,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,19.6058333333333,
337,5d339b28-f368-4d3b-a1ea-ea03656b5108,0,0.0,0.0,0.0,,,,,,,48,,,Youthful Shoes & Clothing,Clothing & Shoes,False,0.0,0.0,F+L,,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,21.78,
342,4b7d2dcd-5a59-4e67-a67f-cef6e7b371bb,0,0.0,0.0,0.0,,,,,,,58,,,Diversified entertainment,Entertainment,False,0.0,0.0,F1+L,,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,18.3655555555556,
345,40d72869-08c6-4c50-92f4-404c94760154,0,0.0,0.0,0.0,,,,,,,65,,,Concept stores & Miscellaneous,"Leisure, Sport & Hobby",False,0.0,0.0,no_match,,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,17.8563888888889,
